profitability,title,release_date
7,"The Matrix",1999-03-30
7,"Les Misérables",2012-12-18
7,"The Lego Movie",2014-02-06
7,"My Best Friend's Wedding",1997-06-19
7,"The Flintstones",1994-05-26
7,"The Proposal",2009-06-01
7,"We're the Millers",2013-08-07
7,"Ace Ventura: When Nature Calls",1995-11-10
7,"District 9",2009-08-05
7,"Million Dollar Baby",2004-12-15
7,"Sausage Party",2016-07-11
7,"Straight Outta Compton",2015-08-13
7,"Knocked Up",2007-06-01
7,"Paul Blart: Mall Cop",2009-01-15
7,"Scream 2",1997-12-09
7,"Bad Boys",1995-04-07
7,"The Bridges of Madison County",1995-05-28
7,"Hit & Run",2012-08-22
7,"Beverly Hills Chihuahua",2008-10-03
7,"Legally Blonde",2001-07-13
7,"The Exorcism of Emily Rose",2005-09-09
7,"Mean Girls",2004-04-30
7,"I Know What You Did Last Summer",1997-10-17
7,"Road Trip",2000-05-19
7,Philadelphia,1993-12-22
7,"The Woman in Black",2012-02-01
7,"Justin Bieber: Never Say Never",2011-02-11
7,"Save the Last Dance",2001-01-12
7,"The Shallows",2016-06-24
7,"The Butterfly Effect",2004-01-22
7,"Ace Ventura: Pet Detective",1994-02-04
7,Patton,1970-01-25
7,"Paper Towns",2015-06-18
7,"If I Stay",2014-08-21
7,"Phone Booth",2002-09-09
7,"Cruel Intentions",1999-03-05
7,"Begin Again",2013-09-07
7,"Good Night, and Good Luck.",2005-09-16
7,Capote,2005-09-30
7,"West Side Story",1961-10-18
7,"National Lampoon’s Van Wilder",2002-03-29
7,"The Wrestler",2008-09-07
7,"10 Cloverfield Lane",2016-03-10
7,Monster,2003-11-16
7,"Shaun of the Dead",2004-04-09
7,Airlift,2016-01-22
7,"Night Watch",2004-06-27
7,Scoop,2006-07-27
7,"A Man for All Seasons",1966-12-12
7,"Menace II Society",1993-05-26
7,"Air Bud",1997-08-01
7,"East Is East",1999-05-14
7,"It Follows",2015-02-04
7,Bloodsport,1988-02-26
7,"The Squid and the Whale",2005-10-05
7,"Sands of Iwo Jima",1949-12-14
7,"Hard Candy",2005-01-14
7,"Half Nelson",2006-08-11
6,"The Avengers",2012-04-25
6,"Iron Man 3",2013-04-18
6,"Harry Potter and the Order of the Phoenix",2007-06-28
6,"The Twilight Saga: Breaking Dawn - Part 2",2012-11-13
6,"The Bourne Ultimatum",2007-08-03
6,"The Hunger Games: Catching Fire",2013-11-15
6,"Harry Potter and the Prisoner of Azkaban",2004-05-31
6,"The Hunger Games: Mockingjay - Part 1",2014-11-18
6,"The Da Vinci Code",2006-05-17
6,Gravity,2013-09-27
6,"The Incredibles",2004-11-05
6,"Men in Black",1997-07-02
6,"Bruce Almighty",2003-05-23
6,"Shrek 2",2004-05-19
6,"Saving Private Ryan",1998-07-24
6,"Ice Age",2002-03-10
6,"Apollo 13",1995-06-30
6,300,2006-12-09
6,"Meet the Fockers",2004-12-22
6,"Gone Girl",2014-10-01
6,GoldenEye,1995-11-16
6,"Alvin and the Chipmunks",2007-12-13
6,"Meet the Parents",2000-10-06
6,Pocahontas,1995-06-14
6,"Kill Bill: Vol. 1",2003-10-10
6,"Catch Me If You Can",2002-12-25
6,"As Good as It Gets",1997-12-19
6,"Taken 3",2014-12-16
6,"Love Actually",2003-09-07
6,"Rambo: First Blood Part II",1985-05-21
6,"The Firm",1993-06-30
6,"American Hustle",2013-12-12
6,"Back to the Future Part III",1990-05-25
6,"17 Again",2009-03-11
6,"Mean Streets",1973-10-02
6,"The Crow",1994-05-11
6,"Sweet Home Alabama",2002-09-26
6,"True Grit",2010-12-22
6,"A Few Good Men",1992-12-11
6,Moonraker,1979-06-26
6,Chicago,2002-12-26
6,"Big Daddy",1999-06-25
6,"The Vow",2012-02-05
6,"The Hunt for Red October",1990-03-02
6,"The Addams Family",1991-11-22
6,"Mystic River",2003-10-07
6,"Up in the Air",2009-09-05
6,"The Curse of the Were-Rabbit",2005-09-04
6,"Walk the Line",2005-09-13
