title,popularity,release_date
"Murder by Numbers",16,2002-04-19
"Brüno",16,2009-07-08
"The Odd Life of Timothy Green",16,2012-08-15
"Cirque du Freak: The Vampire's Assistant",16,2009-10-23
Stormbreaker,16,2006-07-21
"Baahubali: The Beginning",16,2015-07-10
"Water for Elephants",16,2011-03-15
Wimbledon,16,2004-09-13
"The Young Victoria",16,2009-03-04
"A Good Year",16,2006-09-09
"Unfinished Business",16,2015-03-05
Stolen,16,2012-05-17
"Goal!: The Dream Begins",16,2005-06-06
Elf,16,2003-10-09
"Letters to Juliet",16,2010-05-14
"88 Minutes",16,2007-02-14
Frost/Nixon,16,2008-10-15
"How to Lose Friends & Alienate People",16,2008-10-02
Anonymous,16,2011-10-21
"Kiss of the Dragon",16,2001-07-06
"Hit & Run",16,2012-08-22
Risen,16,2016-02-19
"She's Out of My League",16,2010-03-11
Appaloosa,16,2008-09-12
"Disaster Movie",16,2008-08-29
"The Invention of Lying",16,2009-09-13
"My Big Fat Greek Wedding 2",16,2016-03-23
Getaway,16,2013-08-29
"One Day",16,2011-03-02
"Hot Tub Time Machine 2",16,2015-02-20
Aquamarine,16,2006-03-03
"Young Adult",16,2011-12-16
Arbitrage,16,2012-09-14
Frailty,16,2001-11-17
"The Collection",16,2012-09-21
"Danny Collins",16,2015-03-19
"Killer Joe",16,2011-09-10
"An Education",16,2009-10-29
"Harry Brown",16,2009-11-11
"The Devil's Rejects",16,2005-07-22
"The East",16,2013-05-31
"Fahrenheit 9/11",16,2004-06-25
"Y Tu Mamá También",16,2001-06-08
"High School Musical",16,2006-01-20
"Hobo with a Shotgun",16,2011-05-06
"Inside Job",16,2010-10-08
"Super Troopers",16,2001-01-18
"Palo Alto",16,2014-05-09
"The Wolverine",15,2013-07-23
"What Lies Beneath",15,2000-07-21
"K-19: The Widowmaker",15,2002-07-19
"The Invasion",15,2007-08-17
"Exorcist: The Beginning",15,2004-08-20
"Space Cowboys",15,2000-07-31
"Zathura: A Space Adventure",15,2005-11-06
"This Is It",15,2009-10-28
"The Sentinel",15,2006-04-19
"The Black Dahlia",15,2006-09-15
"The Last Castle",15,2001-10-19
"In the Name of the King: A Dungeon Siege Tale",15,2007-11-29
"Elizabeth: The Golden Age",15,2007-09-09
"The Dukes of Hazzard",15,2005-08-05
"Bulletproof Monk",15,2003-03-28
"15 Minutes",15,2001-03-01
"The Guilt Trip",15,2012-12-19
"Drillbit Taylor",15,2008-03-20
Alfie,15,2004-10-22
Duplex,15,2003-09-26
"Black Knight",15,2001-11-21
Heist,15,2015-11-13
"Mandela: Long Walk to Freedom",15,2013-12-06
"Big Mommas: Like Father, Like Son",15,2011-02-16
"Secondhand Lions",15,2003-09-19
"Dumb and Dumberer: When Harry Met Lloyd",15,2003-06-13
Ultraviolet,15,2006-03-03
"No Reservations",15,2007-07-25
"In Good Company",15,2004-12-29
"Punch-Drunk Love",15,2002-10-25
"A Turtle's Tale: Sammy's Adventures",15,2010-08-03
"Little White Lies",15,2010-10-20
"Jane Got a Gun",15,2016-01-01
"Think Like a Man Too",15,2014-06-20
"In the Valley of Elah",15,2007-08-31
"To Rome with Love",15,2012-04-20
"Return to Never Land",15,2002-02-14
"The Covenant",15,2006-09-08
"Secret in Their Eyes",15,2015-10-14
Armored,15,2009-12-04
"12 Rounds",15,2009-03-19
"Everybody's Fine",15,2009-12-04
"The Cold Light of Day",15,2012-04-04
"Land of the Dead",15,2005-06-24
"The Unborn",15,2009-01-09
"Joe Dirt",15,2001-04-10
"Funny Games",15,2007-10-20
"Lars and the Real Girl",15,2007-10-12
"Top Five",15,2014-12-12
Cyrus,15,2010-06-18
"Wish I Was Here",15,2014-01-18
11:14,15,2003-05-16
"Our Idiot Brother",15,2011-08-26
"The Kids Are All Right",15,2010-07-09
"Frances Ha",15,2013-05-17
Tusk,15,2014-09-19
"Diary of the Dead",15,2007-09-08
"The To Do List",15,2013-07-24
"Food, Inc.",15,2008-09-07
"The Skeleton Twins",15,2014-01-18
"Open Water",15,2004-08-06
Seabiscuit,14,2003-07-22
"Charlotte's Web",14,2006-12-15
Dreamgirls,14,2006-12-25
Spanglish,14,2004-12-17
"Titan A.E.",14,2000-06-16
"The Dilemma",14,2011-01-13
"Bad Company",14,2002-06-07
"Hart's War",14,2002-02-15
"The Santa Clause 2",14,2002-10-31
"Proof of Life",14,2000-12-08
"Dark Water",14,2005-06-27
"The Spirit",14,2008-12-25
"Did You Hear About the Morgans?",14,2009-12-17
"After the Sunset",14,2004-11-12
"Free Birds",14,2013-10-30
"Muppets Most Wanted",14,2014-03-20
Unfaithful,14,2002-05-10
"The Replacements",14,2000-08-07
"Out of Time",14,2003-10-03
"Into the Blue",14,2005-09-30
"Bangkok Dangerous",14,2008-08-21
"High Crimes",14,2002-04-03
"The Mothman Prophecies",14,2002-01-25
"The Medallion",14,2003-08-15
"Shall We Dance?",14,2004-10-15
"Jersey Boys",14,2014-06-05
"Red Cliff",14,2008-07-10
"Nim's Island",14,2008-04-03
"License to Wed",14,2007-07-04
"Something Borrowed",14,2011-05-05
"Jersey Girl",14,2004-03-25
"Alex Cross",14,2012-10-18
Valiant,14,2005-03-25
Whiteout,14,2009-09-09
"Nacho Libre",14,2006-06-16
"The Three Stooges",14,2012-04-13
"The Whole Ten Yards",14,2004-04-07
"The Wedding Planner",14,2001-01-26
"Space Pirate Captain Harlock",14,2013-09-07
Serendipity,14,2001-10-05
"We Own the Night",14,2007-05-25
"The Spy Next Door",14,2010-01-15
"Spy Kids: All the Time in the World",14,2011-08-18
"Original Sin",14,2001-08-03
"Parental Guidance",14,2012-12-25
"Don't Be Afraid of the Dark",14,2010-11-06
"Draft Day",14,2014-04-11
"On the Road",14,2012-05-22
"I Heart Huckabees",14,2004-09-10
Underdogs,14,2013-07-18
Max,14,2015-06-26
"The Debt",14,2010-04-11
"The Weather Man",14,2005-10-20
"The Proposition",14,2005-10-06
Zambezia,14,2012-06-05
"The Family Stone",14,2005-12-14
"Diary of a Wimpy Kid: Rodrick Rules",14,2011-03-25
"I Love You, Beth Cooper",14,2009-07-10
Beerfest,14,2006-08-25
"40 Days and 40 Nights",14,2002-03-01
"McFarland, USA",14,2015-02-20
"Road Trip",14,2000-05-19
Zulu,14,2013-12-04
"My Boss's Daughter",14,2003-08-21
"Rachel Getting Married",14,2008-10-03
Trash,14,2014-10-09
"Bring It On",14,2000-08-25
"White Noise",14,2005-01-07
MacGruber,14,2010-05-21
"Bad Words",14,2013-09-06
"Run, Fatboy, Run",14,2007-09-06
"The Joneses",14,2009-09-13
Sicko,14,2007-05-18
Polisse,14,2011-10-06
"My Name Is Khan",14,2010-02-12
"Little Miss Sunshine",14,2006-07-26
"Enough Said",14,2013-09-18
Extract,14,2009-09-03
"Devil's Due",14,2014-01-08
"The Words",14,2012-09-07
"Ghost World",14,2001-07-20
"Jackass: The Movie",14,2002-10-21
"Fifty Shades of Black",14,2016-01-28
After.Life,14,2010-04-09
"Monster's Ball",14,2001-11-11
"Slow West",14,2015-04-16
"Before Sunset",14,2004-02-10
"Touching the Void",14,2003-09-05
Shortbus,14,2006-05-20
"Waltz with Bashir",14,2008-06-25
"Man on Wire",14,2008-07-25
"The Last Exorcism",14,2010-08-27
"The Lunchbox",14,2013-09-19
"The Lords of Salem",14,2012-09-10
"An Inconvenient Truth",14,2006-01-24
"For a Good Time, Call...",14,2012-08-31
"The Innkeepers",14,2011-12-01
"Now Is Good",14,2012-05-25
"Red Planet",13,2000-11-10
"Hotel for Dogs",13,2009-01-16
"Vertical Limit",13,2000-12-08
"Dr. Dolittle 2",13,2001-06-22
"I Spy",13,2002-10-31
"Basic Instinct 2",13,2006-03-29
"The Love Guru",13,2008-06-20
Duplicity,13,2009-03-19
Flyboys,13,2006-09-22
"Just Like Heaven",13,2005-09-16
"Raising Helen",13,2004-05-27
Hereafter,13,2010-10-15
"The International",13,2009-02-03
"Aliens in the Attic",13,2009-07-31
"The Reaping",13,2007-04-05
"A Thousand Words",13,2012-03-07
Heartbreakers,13,2001-03-23
"Old Dogs",13,2009-11-24
"Furry Vengeance",13,2010-04-02
Biutiful,13,2010-10-20
"Snow Dogs",13,2002-01-18
"Going the Distance",13,2010-09-01
"Hannah Montana: The Movie",13,2009-04-10
"Get on Up",13,2014-08-01
"Machine Gun Preacher",13,2011-09-23
"Ghosts of Mars",13,2001-08-24
"Ice Princess",13,2005-03-17
"The Ruins",13,2008-04-02
"The Animal",13,2001-06-01
"Diary of a Wimpy Kid: Dog Days",13,2012-08-02
"Black Book",13,2006-09-01
"Joyeux Noël",13,2005-11-09
"The Beaver",13,2011-02-11
"Are We There Yet?",13,2005-01-20
"The Grudge 2",13,2006-10-13
"Kung Fu Hustle",13,2004-02-10
"Chasing Mavericks",13,2012-10-25
"I'm Not There.",13,2007-10-01
"Butterfly on a Wheel",13,2007-07-27
"Love Happens",13,2009-09-18
"Youth in Revolt",13,2009-09-11
"The Railway Man",13,2013-12-26
"The Immigrant",13,2013-07-03
"All About Steve",13,2009-09-04
"The Rocker",13,2008-08-20
"Promised Land",13,2012-09-23
"My Bloody Valentine",13,2009-01-16
"The Diving Bell and the Butterfly",13,2007-05-22
"The New Guy",13,2002-05-10
"Antwone Fisher",13,2002-12-19
"Cadillac Records",13,2008-12-05
"New in Town",13,2009-01-30
"The Boondock Saints II: All Saints Day",13,2009-11-24
"It's Kind of a Funny Story",13,2010-07-06
Hesher,13,2010-01-22
"The Damned United",13,2009-03-27
"The Spanish Apartment",13,2002-05-17
"The Class",13,2008-09-24
Ida,13,2013-10-25
"The Triplets of Belleville",13,2003-06-11
"Grave Encounters",13,2011-09-09
"The Squid and the Whale",13,2005-10-05
"The Devil Inside",13,2012-01-06
"Mars Needs Moms",12,2011-03-09
"The Adventures of Pluto Nash",12,2002-08-15
"The Flowers of War",12,2011-12-15
Carriers,12,2009-09-04
"Talladega Nights: The Ballad of Ricky Bobby",12,2006-08-04
"The Last Legion",12,2007-04-19
"Little Man",12,2006-08-31
"Red Tails",12,2012-01-19
"Imagine That",12,2009-06-19
D-Tox,12,2002-01-04
"Herbie Fully Loaded",12,2005-06-22
"The Adventures of Sharkboy and Lavagirl",12,2005-06-10
Marmaduke,12,2010-06-04
"Fair Game",12,2010-05-20
"Resident Evil: Extinction",12,2007-09-20
"The Pledge",12,2001-01-09
"Get Rich or Die Tryin'",12,2005-11-09
Untraceable,12,2008-01-22
"Exit Wounds",12,2001-03-13
"Thunder and the House of Magic",12,2013-12-24
"Hope Springs",12,2012-08-07
"North Country",12,2005-02-12
Godsend,12,2004-04-30
"The Merchant of Venice",12,2004-09-03
"DOA: Dead or Alive",12,2006-09-07
"Goodbye Bafana",12,2007-02-11
"Seed of Chucky",12,2004-11-11
"Our Brand Is Crisis",12,2015-09-11
"Notes on a Scandal",12,2006-12-25
Rendition,12,2007-09-07
"Jimmy Neutron: Boy Genius",12,2001-12-21
"Cradle 2 the Grave",12,2003-02-28
"Blood Ties",12,2013-08-22
Ironclad,12,2011-03-03
"Saving Silverman",12,2001-02-09
Stone,12,2010-10-07
"Beverly Hills Chihuahua",12,2008-10-03
"One Missed Call",12,2008-01-04
"Alpha and Omega",12,2010-09-17
"Death Sentence",12,2007-08-31
"Little Boy",12,2015-04-23
"Synecdoche, New York",12,2008-10-24
CJ7,12,2008-01-30
"Under the Tuscan Sun",12,2003-04-30
"House of Sand and Fog",12,2003-12-19
"Halloween II",12,2009-08-28
"The Three Burials of Melquiades Estrada",12,2005-11-17
"Blood and Chocolate",12,2007-01-26
"You Will Meet a Tall Dark Stranger",12,2010-05-23
"The Good Night",12,2007-01-25
"Find Me Guilty",12,2006-03-16
2046,12,2004-05-20
"In the Land of Women",12,2007-04-16
"Over Her Dead Body",12,2008-02-01
"Black or White",12,2014-09-06
Severance,12,2006-05-19
"The Death and Life of Bobby Z",12,2007-07-23
"Bride & Prejudice",12,2004-02-11
"Daddy Day Camp",12,2007-08-08
Bernie,12,2012-04-27
"A Shine of Rainbows",12,2009-10-01
"Whale Rider",12,2003-01-30
"Night Watch",12,2004-06-27
"Red State",12,2011-08-19
Samsara,12,2011-09-16
"The Art of Getting By",12,2011-06-17
"Stake Land",12,2010-09-30
"The Veil",12,2016-04-21
"Troll Hunter",12,2010-10-29
"Fish Tank",12,2009-05-14
Demonic,12,2015-02-12
"They Came Together",12,2014-06-27
Super,12,2010-09-09
"Harsh Times",12,2005-09-11
"Beasts of the Southern Wild",12,2012-06-29
Hatchet,12,2006-04-27
"Dead Man's Shoes",12,2004-09-29
"A Separation",12,2011-03-15
"Kill List",12,2011-09-02
"All the Boys Love Mandy Lane",12,2008-02-15
"Half Nelson",12,2006-08-11
"Your Sister's Sister",12,2011-09-11
"How Do You Know",11,2010-12-17
"Cats & Dogs 2 : The Revenge of Kitty Galore",11,2010-07-30
"Yogi Bear",11,2010-12-11
Timeline,11,2003-11-26
"The Majestic",11,2001-12-21
"Dinner for Schmucks",11,2010-07-30
"3000 Miles to Graceland",11,2001-02-23
"Don't Say a Word",11,2001-09-28
"Death to Smoochy",11,2002-03-28
"Kate & Leopold",11,2001-12-25
"Across the Universe",11,2007-09-14
"Miracle at St. Anna",11,2008-09-15
Enough,11,2002-05-24
"Rock Star",11,2001-09-04
"Reindeer Games",11,2000-02-25
"The Rite",11,2011-01-28
"Sky High",11,2005-07-29
"Must Love Dogs",11,2005-07-21
"Queen of the Damned",11,2002-02-10
Cursed,11,2005-02-25
"The Shipping News",11,2001-12-18
"Baby Mama",11,2008-04-23
"Blue Crush",11,2002-08-08
"Taking Woodstock",11,2009-09-03
"The Sisterhood of the Traveling Pants 2",11,2008-08-06
"Agent Cody Banks",11,2003-03-14
"Fly Me to the Moon",11,2012-10-29
"Joy Ride",11,2001-10-05
Forsaken,11,2015-09-16
"The Rookie",11,2002-03-25
Boogeyman,11,2005-02-04
"Man of the Year",11,2006-10-09
"By the Sea",11,2015-11-12
"Take Me Home Tonight",11,2011-03-04
"Gosford Park",11,2001-11-07
"Small Time Crooks",11,2000-05-19
"The Roommate",11,2011-02-04
"The Lizzie McGuire Movie",11,2003-04-25
"The Skulls",11,2000-03-31
"Halloween: Resurrection",11,2002-07-01
"Highlander: Endgame",11,2000-09-01
"Black Snake Moan",11,2006-12-08
Transsiberian,11,2008-01-18
"Jason X",11,2001-07-24
Bobby,11,2006-09-05
"Little Children",11,2006-10-06
"About Last Night",11,2014-02-14
"The Killer Inside Me",11,2010-02-19
"Ernest & Celestine",11,2012-12-12
"The Eye",11,2008-02-01
"How High",11,2001-12-21
Trade,11,2007-01-23
Cypher,11,2002-10-01
"Heaven is for Real",11,2014-04-16
"Jackass Number Two",11,2006-09-22
"The Perfect Man",11,2005-06-17
"Get Over It",11,2001-03-08
"The Good, The Bad, The Weird",11,2008-07-16
"American Heist",11,2014-09-11
"Boiler Room",11,2000-02-18
"Baggage Claim",11,2013-09-27
"The Haunting in Connecticut 2: Ghosts of Georgia",11,2013-02-01
Prom,11,2011-04-29
"Swimming Pool",11,2003-05-18
"Darkness Falls",11,2003-01-24
"Factory Girl",11,2006-12-29
"Friends with Money",11,2006-09-07
Control,11,2007-09-26
"Good bye, Lenin!",11,2003-02-09
"The Protector",11,2005-08-11
"Requiem for a Dream",11,2000-10-27
"Sexy Beast",11,2000-09-13
"The Rules of Attraction",11,2002-10-11
Choke,11,2008-09-26
Beginners,11,2010-09-11
Antiviral,11,2012-09-19
"Bowling for Columbine",11,2002-10-09
"The Divide",11,2011-03-13
"Silent House",11,2011-01-21
"Session 9",11,2001-08-10
"Dead Snow",11,2009-01-09
"The Station Agent",11,2003-01-26
"The Alamo",10,2004-04-07
"Walking With Dinosaurs",10,2013-12-18
Oceans,10,2009-10-17
"Red Dragon",10,2002-09-29
"2 Fast 2 Furious",10,2003-06-05
"Hollywood Homicide",10,2003-06-09
"Osmosis Jones",10,2001-08-07
"Ladder 49",10,2004-10-01
"Kangaroo Jack",10,2003-01-17
Semi-Pro,10,2008-02-28
Barnyard,10,2006-08-04
"Blood Work",10,2002-08-04
"Happily N'Ever After",10,2006-09-14
"America's Sweethearts",10,2001-07-17
Monster-in-Law,10,2005-05-13
Rent,10,2005-11-23
"New York Minute",10,2004-05-01
"Just Visiting",10,2001-04-06
"The Four Feathers",10,2002-09-08
"Walk Hard: The Dewey Cox Story",10,2007-12-21
Zoom,10,2006-08-11
"The Young and Prodigious T.S. Spivet",10,2013-10-16
"Meet the Spartans",10,2008-01-24
"Pride and Glory",10,2008-09-09
"The Cave",10,2005-08-25
"Hoodwinked Too! Hood VS. Evil",10,2011-04-29
"Grace of Monaco",10,2014-05-14
"Agent Cody Banks 2: Destination London",10,2004-12-03
W.,10,2008-10-17
"She's the Man",10,2006-03-17
"Unaccompanied Minors",10,2006-12-08
"The 33",10,2015-08-06
"Deuce Bigalow: European Gigolo",10,2005-08-06
"Our Kind of Traitor",10,2016-05-05
"Away We Go",10,2009-06-05
"Date Movie",10,2006-02-17
"The Kite Runner",10,2007-10-14
"Capitalism: A Love Story",10,2009-09-06
"The Brothers Bloom",10,2008-09-09
"The Yards",10,2000-04-27
"Dylan Dog: Dead of Night",10,2011-03-16
"The Devil's Double",10,2011-02-11
"Observe and Report",10,2009-04-10
"Mongol: The Rise of Genghis Khan",10,2007-09-20
"Salton Sea",10,2002-01-01
"I Am Wrath",10,2016-04-14
"Dickie Roberts: Former Child Star",10,2003-09-05
"Sydney White",10,2007-09-21
"The Wedding Date",10,2005-02-04
"The Great Debaters",10,2007-12-27
"Raise Your Voice",10,2004-08-10
"Sarah's Key",10,2010-09-16
"Miracles from Heaven",10,2016-03-17
"Bubble Boy",10,2001-08-24
"Paris, je t'aime",10,2006-05-16
"The Vatican Tapes",10,2015-07-24
Barbershop,10,2002-04-01
"Just Wright",10,2010-05-14
"In the Cut",10,2003-09-09
Misconduct,10,2016-02-05
"Cedar Rapids",10,2011-02-11
"Jeff, Who Lives at Home",10,2011-09-13
"My Blueberry Nights",10,2007-05-16
Motherhood,10,2009-01-21
"Nurse 3-D",10,2013-09-28
"Into the Grizzly Maze",10,2015-02-27
Detention,10,2011-03-16
"The Secret of Kells",10,2009-02-09
"Wild Target",10,2010-06-17
"Dom Hemingway",10,2013-11-15
"Best in Show",10,2000-09-19
Deadfall,10,2012-11-08
"Le Havre",10,2011-05-17
"Rabbit Hole",10,2010-12-16
Rudderless,10,2014-10-17
"Dying of the Light",10,2014-12-04
"Moms' Night Out",10,2014-03-25
Cargo,10,2009-09-24
"Survival of the Dead",10,2010-05-06
"The Last Exorcism Part II",10,2013-02-28
Housebound,10,2014-09-04
Waiting...,10,2005-10-07
"Obvious Child",10,2014-06-06
"The Brass Teapot",10,2012-09-08
"Good Kill",10,2015-04-09
"Cheap Thrills",10,2013-03-08
"Super Size Me",10,2004-01-17
"Shin Godzilla",9,2016-07-29
"102 Dalmatians",9,2000-10-07
Nine,9,2009-12-03
Rollerball,9,2002-02-08
"Dragon Blade",9,2015-02-19
"Captain Corelli's Mandolin",9,2001-08-17
Thunderbirds,9,2004-07-23
Gigli,9,2003-08-01
"Christmas with the Kranks",9,2004-11-24
"Curious George",9,2006-02-10
"Curse of the Golden Flower",9,2006-12-21
"The Big Year",9,2011-10-13
"Fever Pitch",9,2005-04-06
Impostor,9,2001-12-03
Secretariat,9,2010-08-20
Radio,9,2003-10-24
"Wonder Boys",9,2000-02-22
Bait,9,2012-09-05
"Lions for Lambs",9,2007-10-22
"Femme Fatale",9,2002-11-06
"Down to Earth",9,2001-02-16
"Gridiron Gang",9,2006-09-15
"Wicker Park",9,2004-09-03
"The 51st State",9,2001-12-07
"The Curse of the Jade Scorpion",9,2001-08-05
"Anacondas: The Hunt for the Blood Orchid",9,2004-08-26
"The Conspirator",9,2010-09-10
"Son of God",9,2014-02-28
"The Glass House",9,2001-09-14
Pulse,9,2006-08-11
"The Tigger Movie",9,2000-02-11
"Stick It",9,2006-04-21
"Pooh's Heffalump Movie",9,2005-02-11
Paparazzi,9,2004-09-03
Envy,9,2004-04-30
"Code Name: The Cleaner",9,2007-01-05
"Alone in the Dark",9,2005-01-28
Steamboy,9,2004-07-17
"Prom Night",9,2008-04-10
"Love the Coopers",9,2015-11-12
"And So It Goes",9,2014-07-20
Renaissance,9,2006-03-16
"Lottery Ticket",9,2010-08-20
"Veronica Guerin",9,2003-07-11
"Southland Tales",9,2006-05-15
"Boys and Girls",9,2000-06-16
"White Oleander",9,2002-10-11
"Soul Plane",9,2004-05-28
"Big Fat Liar",9,2002-02-08
"Ramona and Beezus",9,2010-07-23
Confidence,9,2003-04-25
"A Mighty Heart",9,2007-01-01
"Ong Bak 2",9,2008-12-04
"Mr. Turner",9,2014-10-31
"Far from Heaven",9,2002-09-01
"Save the Last Dance",9,2001-01-12
"Tae Guk Gi: The Brotherhood of War",9,2004-02-05
"Charlie Bartlett",9,2008-02-22
"The Life Before Her Eyes",9,2007-09-08
Slackers,9,2002-02-01
"Employee of the Month",9,2006-10-06
"Dirty Pretty Things",9,2002-09-05
"World's Greatest Dad",9,2009-08-20
"The Oxford Murders",9,2008-01-18
Eulogy,9,2004-10-15
"Next Friday",9,2000-01-12
Plastic,9,2014-04-30
"The Wailing",9,2016-05-12
"Glee: The Concert Movie",9,2011-08-11
"Bright Star",9,2009-11-05
"The Good Girl",9,2002-01-12
Pathology,9,2008-04-11
"Imagine Me & You",9,2005-02-01
"The Hole",9,2009-09-09
Somewhere,9,2010-09-03
"Miss March",9,2009-03-13
Grabbers,9,2012-08-10
"Instructions Not Included",9,2013-07-20
Saved!,9,2004-01-21
"Grandma's Boy",9,2006-01-06
"Everything Must Go",9,2010-10-15
"Sleep Tight",9,2011-10-14
"The Cooler",9,2003-01-17
"Holy Motors",9,2012-07-02
"Pokémon: Spell of the Unknown",9,2000-07-08
"The Eclipse",9,2009-04-24
"Never Back Down 2: The Beatdown",9,2011-09-13
"Kevin Hart: Let Me Explain",9,2013-07-03
Religulous,9,2008-10-01
"Me and You and Everyone We Know",9,2005-06-17
"Nine Dead",9,2010-01-01
Waitress,9,2007-05-25
"The Believer",9,2001-01-19
"Closer to the Moon",9,2013-11-29
"The Second Mother",9,2015-02-08
Transamerica,9,2005-12-23
"The Sessions",9,2012-05-02
"Bubba Ho-tep",9,2002-06-09
"The Specials",9,2000-09-22
"4 Months, 3 Weeks and 2 Days",9,2007-08-24
"Celeste & Jesse Forever",9,2012-08-03
Rubber,9,2010-07-09
"The Birth of a Nation",9,2016-09-09
"The Fast and the Furious: Tokyo Drift",8,2006-06-03
"The Adventures of Rocky & Bullwinkle",8,2000-06-30
Monkeybone,8,2001-02-23
Driven,8,2001-04-27
"Two Brothers",8,2004-04-07
"Ballistic: Ecks vs. Sever",8,2002-09-20
"We Are Marshall",8,2006-12-12
Dragonfly,8,2002-02-22
"The Great Raid",8,2005-08-12
"The Hunted",8,2003-03-11
"Stuck on You",8,2003-12-10
"Domestic Disturbance",8,2001-10-30
"Street Fighter: The Legend of Chun-Li",8,2009-02-27
"Kicking & Screaming",8,2005-05-13
"Autumn in New York",8,2000-08-11
"Life or Something Like It",8,2002-04-26
"Big Miracle",8,2012-02-02
"The Hunting Party",8,2007-09-03
"Nomad: The Warrior",8,2005-07-17
"Without a Paddle",8,2004-08-20
"Racing Stripes",8,2005-01-06
"Glory Road",8,2006-01-13
"Take the Lead",8,2006-03-17
Antitrust,8,2001-01-12
"Miss Potter",8,2006-12-03
"Animals United",8,2010-10-07
"Keeping the Faith",8,2000-04-14
"Serving Sara",8,2002-08-20
"Suspect Zero",8,2004-08-27
"What Just Happened",8,2008-10-17
"Red Eye",8,2005-08-04
"Rugrats Go Wild",8,2003-06-13
"Shark Night",8,2011-09-02
"Lords of Dogtown",8,2005-06-03
"The World's Fastest Indian",8,2005-10-12
"I Don't Know How She Does It",8,2011-09-16
"The Adventurer: The Curse of the Midas Box",8,2013-12-05
"Coco Before Chanel",8,2009-04-22
"Moonlight Mile",8,2002-09-09
"Bringing Down the House",8,2003-03-07
"School for Scoundrels",8,2006-09-29
"Battle of the Year",8,2013-09-21
"The Children of Huang Shi",8,2008-07-03
"Anything Else",8,2003-08-27
"I Come with the Rain",8,2009-05-14
"Dragon Hunters",8,2008-03-19
"The Women",8,2008-09-12
"Hollywood Ending",8,2002-05-03
"Things We Lost in the Fire",8,2007-09-26
"Urban Legends: Final Cut",8,2000-09-19
"Freddy Got Fingered",8,2001-04-18
"Knockaround Guys",8,2001-09-07
"Whatever It Takes",8,2000-03-31
"The Assassin",8,2015-08-27
"Easy Virtue",8,2008-01-01
"The Lucky Ones",8,2008-09-26
"Sorority Row",8,2009-09-09
Quarantine,8,2008-10-10
"Katy Perry: Part of Me",8,2012-06-28
"Two Lovers",8,2008-11-19
Jindabyne,8,2006-07-20
"Kung Pow: Enter the Fist",8,2002-01-25
"Peaceful Warrior",8,2006-03-30
"Owning Mahowny",8,2003-05-02
"The Brothers Solomon",8,2007-09-07
"The Way of the Gun",8,2000-09-08
Shutter,8,2008-03-21
"8 Women",8,2002-01-08
Narc,8,2002-01-14
"Code 46",8,2003-09-02
"Beyond the Lights",8,2014-09-10
Freeheld,8,2015-10-02
Ca$h,8,2010-01-01
"Stargate: The Ark of Truth",8,2008-03-11
"The Messenger",8,2009-11-13
Pollock,8,2000-09-06
"The Haunting of Molly Hartley",8,2008-10-31
"The Cottage",8,2008-02-07
"Yoga Hosers",8,2016-07-08
"Let's Kill Ward's Wife",8,2014-12-23
"Mean Machine",8,2001-12-26
Exiled,8,2006-09-06
Zipper,8,2015-08-28
"A Lonely Place to Die",8,2011-04-09
Defendor,8,2009-09-12
Adam,8,2009-07-29
Feast,8,2005-10-14
"This Is England",8,2006-09-12
U.F.O.,8,2012-12-14
Submarine,8,2011-03-18
May,8,2002-01-13
"Nine Queens",8,2000-08-31
GirlHouse,8,2014-10-16
"Monsoon Wedding",8,2001-08-30
"Extreme Movie",8,2008-12-05
"Wristcutters: A Love Story",8,2006-01-24
"The Act of Killing",8,2012-08-31
"The House of the Devil",8,2009-04-25
"Ask Me Anything",8,2014-04-19
"Mean Creek",8,2004-01-15
Compliance,8,2012-08-23
Tadpole,8,2002-11-01
Straightheads,8,2007-04-27
"Fast Five",7,2011-04-20
"Battlefield Earth",7,2000-05-10
"A Sound of Thunder",7,2005-05-15
Leatherheads,7,2008-03-24
"All the King's Men",7,2006-09-10
"Riding in Cars with Boys",7,2001-10-19
"Fat Albert",7,2004-12-12
"All the Pretty Horses",7,2000-12-11
"The Warrior's Way",7,2010-12-02
Micmacs,7,2009-10-28
"The Art of War",7,2000-08-23
Torque,7,2004-01-16
"The Watcher",7,2000-09-08
"Hearts in Atlantis",7,2001-09-07
"What's the Worst That Could Happen?",7,2001-05-31
Miracle,7,2004-02-06
"Forbidden Kingdom",7,2014-01-30
"The Face of an Angel",7,2014-09-06
"What a Girl Wants",7,2003-03-27
"Dance Flick",7,2009-05-22
"The Greatest Game Ever Played",7,2005-09-30
"My Soul to Take",7,2010-10-08
"Stealing Harvard",7,2002-09-13
"Straw Dogs",7,2011-09-16
BloodRayne,7,2005-10-22
"Win a Date with Tad Hamilton!",7,2004-01-23
"Someone Like You...",7,2001-03-30
"Bodyguards and Assassins",7,2009-12-18
"The Libertine",7,2004-09-16
"Madea's Witness Protection",7,2012-06-29
"The Stepfather",7,2009-10-16
"Georgia Rule",7,2007-05-11
Bandslam,7,2009-08-06
Birth,7,2004-09-08
"Hands of Stone",7,2016-08-26
"The Baader Meinhof Complex",7,2008-09-24
Fame,7,2009-01-01
"The Tailor of Panama",7,2001-02-11
"Metallica: Through the Never",7,2013-09-25
Wolves,7,2014-08-28
"Black Nativity",7,2013-11-27
"The Best Man Holiday",7,2013-11-15
"American Dreamz",7,2006-03-04
"Baby Boy",7,2001-06-27
