title,popularity,release_date
"The Conjuring",49,2013-07-18
"End of Watch",49,2012-09-20
Drive,49,2011-08-06
Automata,49,2014-10-09
"Project X",49,2012-03-01
"Shaun of the Dead",49,2004-04-09
Tangled,48,2010-11-24
"Independence Day: Resurgence",48,2016-06-22
Pan,48,2015-09-24
"War of the Worlds",48,2005-06-28
Salt,48,2010-07-21
"Night at the Museum",48,2006-10-20
"Live Free or Die Hard",48,2007-06-20
"Mirror Mirror",48,2012-03-15
Madagascar,48,2005-05-25
"The Man from U.N.C.L.E.",48,2015-08-13
Stardust,48,2007-08-09
"Les Misérables",48,2012-12-18
"Ghost Rider: Spirit of Vengeance",48,2011-12-10
"3:10 to Yuma",48,2007-09-06
"Bridge of Spies",48,2015-10-15
"Side Effects",48,2013-02-07
"Wild Card",48,2015-01-14
"The Grey",48,2012-01-26
"Before I Go to Sleep",48,2014-09-03
"Insidious: Chapter 2",48,2013-09-12
"Lights Out",48,2016-07-21
"The Polar Express",47,2004-11-10
"Clash of the Titans",47,2010-04-01
"The Girl with the Dragon Tattoo",47,2011-12-14
"The League of Extraordinary Gentlemen",47,2003-07-11
"Shark Tale",47,2004-09-20
"Shrek 2",47,2004-05-19
"Chicken Little",47,2005-11-04
Hellboy,47,2004-04-02
"Alvin and the Chipmunks",47,2007-12-13
Predators,47,2010-07-03
"The Impossible",47,2012-09-09
"Transporter 2",47,2005-08-02
Vacation,47,2015-07-28
Mama,47,2013-01-17
"The Hurt Locker",47,2008-10-10
Crank,47,2006-08-31
"Paranormal Activity",47,2007-09-14
"Oz: The Great and Powerful",46,2013-03-07
Noah,46,2014-03-20
"Ghost Rider",46,2007-02-16
"Gangs of New York",46,2002-12-14
"Cloudy with a Chance of Meatballs",46,2009-09-17
Rio,46,2011-04-03
"Eagle Eye",46,2008-09-25
"The Simpsons Movie",46,2007-07-25
xXx,46,2002-08-09
"Big Fish",46,2003-12-25
Blackhat,46,2015-01-13
"Black Mass",46,2015-09-04
Moneyball,46,2011-09-22
Riddick,46,2013-09-02
"How to Be Single",46,2016-01-21
Looper,46,2012-09-26
Cloverfield,46,2008-01-15
Moon,46,2009-06-12
2012,45,2009-10-10
"The Bourne Ultimatum",45,2007-08-03
"The Da Vinci Code",45,2006-05-17
"How the Grinch Stole Christmas",45,2000-11-17
"The Aviator",45,2004-12-17
"Ender's Game",45,2013-10-23
"Grown Ups 2",45,2013-07-11
"The Angry Birds Movie",45,2016-05-11
"Man on Fire",45,2004-04-23
"The Mortal Instruments: City of Bones",45,2013-08-21
Goosebumps,45,2015-08-05
"Central Intelligence",45,2016-06-15
"Inside Man",45,2006-03-23
"Red Riding Hood",45,2011-03-11
Serenity,45,2005-08-25
21,45,2008-03-27
"Drag Me to Hell",45,2009-03-15
Identity,45,2003-04-25
Kick-Ass,45,2010-03-22
"Inherent Vice",45,2014-12-25
"Crouching Tiger, Hidden Dragon",45,2000-10-01
"The November Man",45,2014-08-27
"Step Up",45,2006-08-11
"Insidious: Chapter 3",45,2015-06-04
"28 Days Later",45,2002-10-31
"American Psycho",45,2000-04-13
"Easy A",45,2010-09-10
"(500) Days of Summer",45,2009-07-17
"Lost in Translation",45,2003-08-31
"Shrek Forever After",44,2010-05-16
"Madagascar: Escape 2 Africa",44,2008-10-30
"Wrath of the Titans",44,2012-03-27
"Madagascar 3: Europe's Most Wanted",44,2012-06-06
"The BFG",44,2016-06-01
Turbo,44,2013-07-11
"Knight and Day",44,2010-06-15
"Star Wars: Episode III - Revenge of the Sith",44,2005-05-17
"Mr. & Mrs. Smith",44,2005-06-07
"Kingdom of Heaven",44,2005-05-03
"Black Hawk Down",44,2001-12-28
"The Holiday",44,2006-12-08
"RED 2",44,2013-07-18
"Escape Plan",44,2013-10-09
Collateral,44,2004-08-04
Blended,44,2014-05-21
